"legacy_url","target_url","status_code","priority","reason","confidence","last90_clicks","backlink_flag","notes"
"https://dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed.html","https://www.dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","301","P0","exact_path_preservation","high","145","0",""
"https://daveblake.com.au/blog/top-modelling-agencies-brisbane-how-to-get-signed.html","https://www.dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed","301","P0","exact_path_preservation","high","145","0",""
"https://dave-blake.com/","https://www.dave-blake.com/","301","P0","exact_path_preservation","high","138","0",""
"https://daveblake.com.au/","https://www.dave-blake.com/","301","P0","exact_path_preservation","high","138","0",""
"https://dave-blake.com/photographer/brisbane-fashion-photographer.html","https://www.dave-blake.com/photographer/brisbane-fashion-photographer","301","P1","exact_path_preservation","high","25","0",""
"https://daveblake.com.au/photographer/brisbane-fashion-photographer.html","https://www.dave-blake.com/photographer/brisbane-fashion-photographer","301","P1","exact_path_preservation","high","25","0",""
"https://dave-blake.com/model-tests.html","https://www.dave-blake.com/model-tests","301","P1","exact_path_preservation","high","19","0",""
"https://daveblake.com.au/model-tests.html","https://www.dave-blake.com/model-tests","301","P1","exact_path_preservation","high","19","0",""
"https://dave-blake.com/services/model-portfolios/brisbane.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","exact_path_preservation","high","17","0",""
"https://daveblake.com.au/services/model-portfolios/brisbane.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","exact_path_preservation","high","17","0",""
"https://dave-blake.com/story/tag/Lacey+Nelson","https://www.dave-blake.com/articles","301","P0","consolidate_tag_taxonomy","medium","16","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Lacey+Nelson.html","https://www.dave-blake.com/articles","301","P0","consolidate_tag_taxonomy","medium","16","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Lacey+Nelson","https://www.dave-blake.com/articles","301","P0","consolidate_tag_taxonomy","medium","16","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Lacey+Nelson.html","https://www.dave-blake.com/articles","301","P0","consolidate_tag_taxonomy","medium","16","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/model-test-shoots/brisbane.html","https://www.dave-blake.com/model-test-shoots/brisbane","301","P1","exact_path_preservation","high","15","0",""
"https://daveblake.com.au/model-test-shoots/brisbane.html","https://www.dave-blake.com/model-test-shoots/brisbane","301","P1","exact_path_preservation","high","15","0",""
"https://dave-blake.com/gosee/img/ellag","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","12","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/gosee/img/ellag.html","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","12","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/gosee/img/ellag","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","12","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/gosee/img/ellag.html","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","12","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photographer/swimwear-photography-sydney.html","https://www.dave-blake.com/photographer/swimwear-photography-sydney","301","P1","exact_path_preservation","high","11","0",""
"https://daveblake.com.au/photographer/swimwear-photography-sydney.html","https://www.dave-blake.com/photographer/swimwear-photography-sydney","301","P1","exact_path_preservation","high","11","0",""
"https://dave-blake.com/gosees","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","10","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/gosees.html","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","10","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/services/model-portfolios/byron-bay.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","exact_path_preservation","high","10","0",""
"https://daveblake.com.au/gosees","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","10","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/gosees.html","https://www.dave-blake.com/model-tests","301","P0","consolidate_legacy_gosee","high","10","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/services/model-portfolios/byron-bay.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","exact_path_preservation","high","10","0",""
"https://dave-blake.com/packages/model-portfolio-photographer","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","9","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/packages/model-portfolio-photographer.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","9","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/packages/model-portfolio-photographer","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","9","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/packages/model-portfolio-photographer.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","9","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/byron-bay-photography-equipment-rental","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","8","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/byron-bay-photography-equipment-rental.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","8","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/byron-bay-photography-equipment-rental","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","8","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/byron-bay-photography-equipment-rental.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","8","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Mollye+Rogel","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","7","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Mollye+Rogel.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","7","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Mollye+Rogel","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","7","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Mollye+Rogel.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","7","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography-workshops/course-building-your-fashion-beauty-portfolio-with-agency-models-online-byron-bay","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography-workshops/course-building-your-fashion-beauty-portfolio-with-agency-models-online-byron-bay.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Steph+Rayner","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Steph+Rayner.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography-workshops/course-building-your-fashion-beauty-portfolio-with-agency-models-online-byron-bay","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography-workshops/course-building-your-fashion-beauty-portfolio-with-agency-models-online-byron-bay.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Steph+Rayner","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Steph+Rayner.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","5","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/gift-card/model-portfolio-gift-card-brisbane-byron-bay","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/gift-card/model-portfolio-gift-card-brisbane-byron-bay.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2017/11/8/annie-ericson-pools-of-blue","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2017/11/8/annie-ericson-pools-of-blue.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Chiara+Dorward","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Chiara+Dorward.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/gift-card/model-portfolio-gift-card-brisbane-byron-bay","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/gift-card/model-portfolio-gift-card-brisbane-byron-bay.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2017/11/8/annie-ericson-pools-of-blue","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2017/11/8/annie-ericson-pools-of-blue.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Chiara+Dorward","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Chiara+Dorward.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","4","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography/fashion-week","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","high","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography/fashion-week.html","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","high","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2017/8/16/della-notte","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2017/8/16/della-notte.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2019/alys-hale-model-writer","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2019/alys-hale-model-writer.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/abbey-maher-viviens-balistarz-lifes-a-beach","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/abbey-maher-viviens-balistarz-lifes-a-beach.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/anouk-daddo-img-models-beauty","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/anouk-daddo-img-models-beauty.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Isabelle+van+der+Tuin","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Isabelle+van+der+Tuin.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Lilli+Tronc-Robinson","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/tag/Lilli+Tronc-Robinson.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography/fashion-week","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","high","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography/fashion-week.html","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","high","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2017/8/16/della-notte","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2017/8/16/della-notte.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2019/alys-hale-model-writer","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2019/alys-hale-model-writer.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/abbey-maher-viviens-balistarz-lifes-a-beach","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/abbey-maher-viviens-balistarz-lifes-a-beach.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/anouk-daddo-img-models-beauty","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/anouk-daddo-img-models-beauty.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Isabelle+van+der+Tuin","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Isabelle+van+der+Tuin.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Lilli+Tronc-Robinson","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/tag/Lilli+Tronc-Robinson.html","https://www.dave-blake.com/articles","301","P1","consolidate_tag_taxonomy","medium","3","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2016/12/3/my-chat-with-millicent-lambert","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","2","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2016/12/3/my-chat-with-millicent-lambert.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","2","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2016/12/3/my-chat-with-millicent-lambert","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","2","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2016/12/3/my-chat-with-millicent-lambert.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","2","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/fashion-week-1/tag/Jordan+Barrett.html","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/headshots","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/headshots.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photographer-in/byron-bay-for-model-portfolio-may-2020","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photographer-in/byron-bay-for-model-portfolio-may-2020.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography/model-portfolios","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/photography/model-portfolios.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/workshops/2021/10/professional-photography-course-building-your-fashion-beauty-portfolio-with-agency-models-3-months-8-students-online-or-byron-bay","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/workshops/2021/10/professional-photography-course-building-your-fashion-beauty-portfolio-with-agency-models-3-months-8-students-online-or-byron-bay.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/fashion-week-1/tag/Jordan+Barrett","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/fashion-week-1/tag/Jordan+Barrett.html","https://www.dave-blake.com/portfolio/fashion","301","P1","portfolio_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/headshots","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/headshots.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photographer-in/byron-bay-for-model-portfolio-may-2020","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photographer-in/byron-bay-for-model-portfolio-may-2020.html","https://www.dave-blake.com/services/model-portfolios/byron-bay","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography/model-portfolios","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/photography/model-portfolios.html","https://www.dave-blake.com/services/model-portfolios/brisbane","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/workshops/2021/10/professional-photography-course-building-your-fashion-beauty-portfolio-with-agency-models-3-months-8-students-online-or-byron-bay","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/workshops/2021/10/professional-photography-course-building-your-fashion-beauty-portfolio-with-agency-models-3-months-8-students-online-or-byron-bay.html","https://www.dave-blake.com/services","301","P1","service_page_consolidation","medium","1","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2018/8/8/kane-anderson","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","0","0","gsc-high-value-lock-2026-02-17"
"https://dave-blake.com/story/2018/8/8/kane-anderson.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","0","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2018/8/8/kane-anderson","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","0","0","gsc-high-value-lock-2026-02-17"
"https://daveblake.com.au/story/2018/8/8/kane-anderson.html","https://www.dave-blake.com/articles","301","P1","consolidate_legacy_stories","medium","0","0","gsc-high-value-lock-2026-02-17"
